,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,118444.0,100920.0,2358142089775.1177,50780662908.60898,0.31326325249033504,1753257344,up
ethereum,ethereum,3672.6,3129.24,443930959726.0684,44576306295.657394,-0.5088030100230883,1753257337,down
solana,solana,199.27,169.79,107250437408.94348,23224420532.803715,0.05044193742690976,1753257341,up
tether,tether,1.0,0.852422,162009916116.6914,139372475033.0367,0.006992395678193108,1753257342,up
