,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,119137.0,101520.0,2371096475070.3843,55801539956.03756,1.5648885869571008,1753239122,up
ethereum,ethereum,3741.05,3187.85,452011381129.8738,49109683576.25235,-0.6695327343834981,1753239123,down
solana,solana,202.18,172.29,108953052027.13786,29253495609.340755,-0.46695727271631865,1753239126,down
tether,tether,1.0,0.852457,162004167621.807,159109761578.48166,-0.0019262765715134984,1753239110,down
