,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,118529.0,100957.0,2358757708875.683,47599082234.44364,0.17096968725760622,1753256703,up
ethereum,ethereum,3686.03,3139.57,445150575089.92993,45338801166.39167,-0.5121198514716896,1753256696,down
solana,solana,200.67,170.92,107988247150.34975,23695055013.338825,0.2702627364562622,1753256689,up
tether,tether,1.0,0.8521,162005890893.9267,139757413636.30783,0.005861802585012546,1753256690,up
