key,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,118994,102853,2367358876088.4834,44475476589.91114,-0.014153277910659937,1753777403,down
ethereum,ethereum,3873.01,3347.67,467432924412.23236,37196608351.88216,-0.6006185187557261,1753777404,down
solana,solana,185.87,160.66,100001709090.4392,10589792748.414762,-3.2922658950847623,1753777398,down
tether,tether,0.999939,0.864304,163646250616.2072,106187075236.22816,-0.009908890545313366,1753777398,down
