,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,119136.0,101529.0,2370659991945.37,56000809745.08088,1.6779936682650316,1753239443,up
ethereum,ethereum,3743.83,3190.54,451896034388.905,49861937459.19322,-0.26417565512473073,1753239444,down
solana,solana,202.24,172.35,108838827680.73894,29209071852.57885,-0.23161493231574146,1753239439,down
tether,tether,1.0,0.852531,162000832924.56204,159171916180.8075,-0.004135259291899726,1753239441,down
