,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,118470.0,100923.0,2358142089775.1177,50957895360.34554,0.2646686641360903,1753257013,up
ethereum,ethereum,3675.87,3131.44,443930959726.0684,45533812571.74476,-0.5856640444810737,1753257017,down
solana,solana,199.51,169.96,107494959423.12057,21710127045.8884,0.010516939301553634,1753257015,up
tether,tether,1.0,0.852261,162009916116.6914,139283714465.1438,0.006993555353468558,1753257016,up
