,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,119672.0,101845.0,2380880961189.5776,57926853443.21063,2.134679489968086,1753219487,up
ethereum,ethereum,3708.36,3155.93,447607891130.76776,52021217713.93315,-1.3005164581935953,1753219488,down
solana,solana,200.83,170.91,108068902465.69469,32575286636.972687,3.03340747532081,1753219491,up
tether,tether,1.0,0.851353,162002047479.60117,167222101933.68387,0.0050004713530649005,1753219492,up
