,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,119112.0,101501.0,2370639429652.1587,56346773947.957245,1.6264539923668546,1753239767,up
ethereum,ethereum,3744.86,3191.19,452040892010.6474,51128595274.57778,0.11623647205060356,1753239761,up
solana,solana,202.25,172.34,108843061949.40976,29188344012.81808,-0.2470989847117444,1753239764,down
tether,tether,1.0,0.852451,161999988960.1573,158898540402.50082,-0.0050177253788932265,1753239765,down
