,id,price_usd,price_eur,market_cap_usd,volume_24h_usd,change_24h_percent,last_updated,status
bitcoin,bitcoin,118567.0,100933.0,2359370610098.1313,47791525661.08179,0.20316908328672584,1753256373,up
ethereum,ethereum,3692.13,3143.01,446039018921.2445,45272026169.33753,-0.44294023419083706,1753256375,down
solana,solana,200.85,170.98,108164789624.8296,23714845951.61263,0.2667108982695925,1753256378,up
tether,tether,1.0,0.851597,161997674372.99475,139714248232.6032,0.003997330736322821,1753256379,up
